,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game
Rk,Player,From,To,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Frank Turner\frank-turner-1,2010,2010,Canisius,MAAC,32,1226,38.3,5.4,11.4,4.7,9.2,0.7,2.2,4.7,6.6,0.8,4.3,5.1,5.7,2.1,0.1,3.3,2.5,16.2
2,Oshae Brissett\oshae-brissett-1,2018,2018,Syracuse,ACC,37,1411,38.1,4.4,12.4,2.9,7.9,1.5,4.5,4.7,6.0,2.2,6.6,8.8,0.9,1.2,0.8,1.9,2.2,14.9
3,Will Walker\will-walker-1,2010,2010,DePaul,Big East,31,1180,38.1,5.7,15.9,3.4,8.5,2.3,7.5,2.5,3.5,0.7,2.3,3.0,2.5,1.5,0.1,1.7,1.7,16.2
4,RJ Cole\rj-cole-1,2018,2018,Howard,MEAC,33,1252,37.9,7.3,18.5,4.0,9.3,3.3,9.2,5.8,7.5,0.8,3.1,3.9,6.1,1.7,0.0,3.8,2.6,23.7
5,Talor Battle\talor-battle-1,2010,2011,Penn State,Big Ten,65,2440,37.5,6.4,15.2,3.7,7.7,2.7,7.5,3.8,5.2,0.5,4.3,4.8,3.5,0.9,0.1,2.1,1.6,19.4
6,Tory Jackson\tory-jackson-1,2010,2010,Notre Dame,Big East,35,1312,37.5,3.3,8.2,2.1,4.8,1.2,3.5,1.7,2.7,0.6,2.1,2.7,5.3,1.5,0.1,2.0,1.6,9.6
7,Khalid Mutakabbir\khalid-mutakabbir-1,2011,2013,Presbyterian,Big South,92,3452,37.5,5.1,11.5,3.5,7.4,1.6,4.1,2.5,3.2,0.8,2.4,3.1,2.3,1.1,0.2,2.7,2.1,14.3
8,Sa'eed Nelson\saeed-nelson-1,2017,2018,American,Patriot,59,2210,37.5,6.0,13.6,5.2,10.5,0.8,3.1,3.9,6.2,0.8,3.3,4.0,3.9,2.1,0.2,3.3,2.7,16.7
9,Ben Smith\ben-smith-1,2010,2010,Jacksonville,A-Sun,33,1237,37.5,5.7,13.9,3.2,7.0,2.5,6.8,6.0,7.7,0.7,2.5,3.2,3.6,2.0,0.1,2.0,1.7,19.8
10,Michael Thompson\michael-thompson-2,2010,2011,Northwestern,Big Ten,68,2549,37.5,5.0,11.4,2.3,4.7,2.7,6.7,2.5,3.1,0.4,1.6,2.0,4.2,1.3,0.1,1.8,2.5,15.2
11,Jawan Carter\jawan-carter-1,2010,2011,Delaware,CAA,62,2319,37.4,4.7,12.3,2.2,5.1,2.5,7.2,5.1,6.2,0.7,2.8,3.5,3.6,1.1,0.0,2.5,2.5,17.1
12,Zack Rosen\zack-rosen-1,2010,2012,Pennsylvania,Ivy,89,3326,37.4,5.4,12.0,3.2,6.7,2.2,5.3,3.9,4.6,0.5,2.8,3.3,5.0,1.3,0.0,2.9,2.6,16.8
13,Kevin Galloway\kevin-galloway-1,2011,2011,Texas Southern,SWAC,32,1194,37.3,3.6,9.1,2.7,6.1,0.9,3.0,2.9,5.0,1.1,5.8,6.9,6.3,1.8,0.9,5.0,2.0,10.9
14,Juan'ya Green\juanya-green-1,2012,2016,Total,Total,134,5002,37.3,5.2,13.1,3.4,7.7,1.8,5.4,5.1,6.3,0.7,3.3,4.0,5.8,1.7,0.4,2.9,2.1,17.3
15,Tasmin Mitchell\tasmin-mitchell-1,2010,2010,Louisiana State,SEC,31,1157,37.3,6.3,14.6,5.3,11.6,1.0,3.0,3.1,4.3,3.0,6.4,9.4,1.9,1.3,0.5,2.2,2.3,16.8
16,Luke Babbitt\luke-babbitt-1,2010,2010,Nevada,WAC,34,1260,37.1,7.4,14.8,6.1,11.8,1.2,3.0,5.9,6.4,2.1,6.9,8.9,2.1,1.0,0.8,2.4,2.6,21.9
17,Malcolm Delaney\malcolm-delaney-1,2010,2011,Virginia Tech,ACC,67,2483,37.1,5.6,13.8,3.4,7.7,2.2,6.1,6.1,7.3,0.9,2.7,3.6,4.2,1.4,0.1,3.0,2.8,19.5
18,Rodney Green\rodney-green-1,2010,2010,La Salle,A-10,30,1113,37.1,6.8,16.4,5.6,12.0,1.2,4.4,3.7,5.3,0.9,4.2,5.1,4.3,1.6,0.2,4.0,1.9,18.5
19,Dominique Jones\dominique-jones-1,2010,2010,South Florida,Big East,33,1224,37.1,6.7,14.9,5.2,9.9,1.6,5.1,6.3,8.5,1.1,5.0,6.1,3.6,1.7,0.6,2.9,2.8,21.4
20,Andrew Gonzalez\andrew-gonzalez-1,2011,2011,Houston Baptist,GWC,30,1111,37.0,6.8,16.4,4.9,11.4,1.9,5.0,7.3,9.0,1.6,4.0,5.5,2.2,1.6,0.5,3.5,2.3,22.9
21,Robo Kreps\robo-kreps-1,2010,2011,Illinois-Chicago,Horizon,61,2260,37.0,5.0,13.1,3.0,6.8,2.1,6.3,3.3,4.0,0.6,3.4,4.0,2.5,1.4,0.0,2.3,1.5,15.5
22,Aubrey Coleman\aubrey-coleman-1,2010,2010,Houston,CUSA,35,1293,36.9,8.7,20.5,7.3,15.9,1.5,4.6,6.7,9.1,2.4,5.0,7.4,2.6,2.7,0.2,2.3,2.2,25.6
23,Clifford Reed\cj-reed-1,2010,2013,Total,Total,100,3693,36.9,5.2,14.0,3.7,9.2,1.6,4.9,3.9,4.8,0.6,3.1,3.7,4.2,1.4,0.1,3.0,2.2,15.9
24,Jason Bohannon\jason-bohannon-1,2010,2010,Wisconsin,Big Ten,33,1214,36.8,3.8,8.4,1.8,3.1,2.1,5.3,1.9,2.2,0.5,3.2,3.6,2.2,0.9,0.4,1.2,1.5,11.6
