,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,1969,NBA,1,1,MIL,Kareem Abdul-Jabbar\abdulka01,21.362,C,us,University of California Los Angeles,1970,1989,1560,36.8,24.6,11.2,3.6,0.7,2.0,.559,.560,.056,.721,273.4,.228
2,2003,NBA,1,1,CLE,LeBron James\jamesle01,18.182,F-G,us,,2004,2018,1143,38.8,27.2,7.4,7.2,1.6,0.8,.504,.547,.344,.739,219.4,.238
3,1984,NBA,1,3,CHI,Michael Jordan\jordami01,21.128,G-F,us,University of North Carolina,1985,2003,1072,38.3,30.1,6.2,5.3,2.3,0.8,.497,.510,.327,.835,214.0,.250
4,1997,NBA,1,1,SAS,Tim Duncan\duncati01,21.066,F-C,vi,Wake Forest University,1998,2016,1392,34.0,19.0,10.8,3.0,0.7,2.2,.506,.509,.179,.696,206.4,.209
5,1998,NBA,1,9,MIL,Dirk Nowitzki\nowitdi01,20.010,F,de,,1999,2018,1471,34.4,21.2,7.7,2.5,0.8,0.9,.472,.497,.383,.879,206.1,.196
6,1995,NBA,1,5,MIN,Kevin Garnett\garneke01,19.044,F-C,us,,1996,2016,1462,34.5,17.8,10.0,3.7,1.3,1.4,.497,.504,.275,.789,191.4,.182
7,1960,NBA,1,1,CIN,Oscar Robertson\roberos01,21.144,G-F,us,University of Cincinnati,1961,1974,1040,42.2,25.7,7.5,9.5,0.1,0.0,.485,.485,,.838,189.2,.207
8,1992,NBA,1,1,ORL,Shaquille O'Neal\onealsh01,20.115,C,us,Louisiana State University,1993,2011,1207,34.7,23.7,10.9,2.5,0.6,2.3,.582,.583,.045,.527,181.7,.208
9,1987,NBA,1,1,SAS,David Robinson\robinda01,21.325,C,us,United States Naval Academy,1990,2003,987,34.7,21.1,10.6,2.5,1.4,3.0,.518,.520,.250,.736,178.7,.250
10,1984,NBA,1,5,PHI,Charles Barkley\barklch01,21.125,F,us,Auburn University,1985,2000,1073,36.7,22.1,11.7,3.9,1.5,0.8,.541,.581,.266,.735,177.2,.216
11,2005,NBA,1,4,NOH,Chris Paul\paulch01,20.058,G,us,Wake Forest University,2006,2018,892,35.3,18.7,4.5,9.8,2.3,0.1,.472,.505,.372,.868,164.8,.251
12,1956,NBA,1,2,STL,Bill Russell\russebi01,22.083,C,us,University of San Francisco,1957,1969,963,42.3,15.1,22.5,4.3,,,.440,.440,,.561,163.5,.193
13,1984,NBA,1,1,HOU,Hakeem Olajuwon\olajuha01,21.155,C,ng,University of Houston,1985,2002,1238,35.7,21.8,11.1,2.5,1.7,3.1,.512,.514,.202,.712,162.8,.177
14,1960,NBA,1,2,LAL,Jerry West\westje01,21.324,G,us,West Virginia University,1961,1974,932,39.2,27.0,5.8,6.7,0.1,0.0,.474,.474,,.814,162.6,.213
15,1979,NBA,1,1,LAL,Magic Johnson\johnsma02,19.320,G-F,us,Michigan State University,1980,1996,906,36.7,19.5,7.2,11.2,1.9,0.4,.520,.541,.303,.848,155.8,.225
16,1998,NBA,1,10,BOS,Paul Pierce\piercpa01,20.259,F-G,us,University of Kansas,1999,2017,1343,34.2,19.7,5.6,3.5,1.3,0.6,.445,.478,.368,.806,150.0,.157
17,1976,NBA,1,8,GSW,Robert Parish\parisro01,22.288,C,us,Centenary College of Louisiana,1977,1997,1611,28.4,14.5,9.1,1.4,0.8,1.5,.537,.537,.000,.721,147.0,.154
18,1978,NBA,1,6,BOS,Larry Bird\birdla01,21.189,F,us,Indiana State University,1980,1992,897,38.4,24.3,10.0,6.3,1.7,0.8,.496,.509,.376,.886,145.8,.203
19,1990,NBA,1,2,SEA,Gary Payton\paytoga01,21.344,G,us,Oregon State University,1991,2007,1335,35.3,16.3,3.9,6.7,1.8,0.2,.466,.501,.317,.729,145.5,.148
20,1996,NBA,1,5,MIN,Ray Allen\allenra02,20.347,G,us,University of Connecticut,1997,2014,1300,35.6,18.9,4.1,3.4,1.1,0.2,.452,.485,.400,.894,145.1,.150
21,2001,NBA,1,3,ATL,Pau Gasol\gasolpa01,20.361,F-C,es,,2002,2018,1196,34.0,17.4,9.3,3.2,0.5,1.6,.508,.512,.366,.754,143.0,.169
22,1948,BAA,1,4,NYK,Dolph Schayes\schaydo01,19.361,F-C,us,New York University,1950,1964,996,29.9,18.5,11.3,3.1,,,.380,.380,,.849,142.4,.229
23,1994,NBA,1,2,DAL,Jason Kidd\kiddja01,21.103,G,us,University of California,1995,2013,1391,36.0,12.6,6.3,8.7,1.9,0.3,.400,.429,.349,.785,138.6,.133
24,1954,NBA,1,2,MLH,Bob Pettit\pettibo01,21.138,F-C,us,Louisiana State University,1955,1965,792,38.8,26.4,16.2,3.0,,,.436,.436,,.761,136.0,.213
25,1976,NBA,1,6,BUF,Adrian Dantley\dantlad01,20.106,F-G,us,University of Notre Dame,1977,1991,955,35.8,24.3,5.7,3.0,1.0,0.2,.540,.541,.171,.818,134.2,.189
26,1962,NBA,1,7,BOS,John Havlicek\havlijo01,21.357,F-G,us,Ohio State University,1963,1978,1270,36.6,20.8,6.3,4.8,0.4,0.1,.439,.439,,.815,131.7,.136
27,2007,NBA,1,2,SEA,Kevin Durant\duranke01,18.276,F-G,us,University of Texas at Austin,2008,2018,771,37.1,27.1,7.1,3.9,1.2,1.1,.490,.527,.384,.882,130.2,.219
28,1961,NBA,1,1,CHP,Walt Bellamy\bellawa01,21.252,C,us,Indiana University,1962,1975,1043,37.3,20.1,13.7,2.4,0.0,0.0,.516,.516,,.632,130.0,.160
29,2004,NBA,1,1,ORL,Dwight Howard\howardw01,18.203,C,us,,2005,2018,1035,34.5,17.4,12.7,1.5,0.9,2.0,.583,.585,.095,.566,128.3,.172
30,1985,NBA,1,1,NYK,Patrick Ewing\ewingpa01,22.323,C-F,jm,Georgetown University,1986,2002,1183,34.3,21.0,9.8,1.9,1.0,2.4,.504,.507,.152,.740,126.4,.150
31,1987,NBA,1,5,SEA,Scottie Pippen\pippesc01,21.275,F-G,us,University of Central Arkansas,1988,2004,1178,34.9,16.1,6.4,5.2,2.0,0.8,.473,.507,.326,.704,125.1,.146
32,1999,NBA,1,9,PHO,Shawn Marion\mariosh01,21.059,F,us,University of Nevada Las Vegas,2000,2015,1163,34.5,15.2,8.7,1.9,1.5,1.1,.484,.513,.331,.810,124.9,.150
33,1998,NBA,1,5,GSW,Vince Carter\cartevi01,21.154,G-F,us,University of North Carolina,1999,2018,1405,31.4,17.7,4.5,3.3,1.0,0.6,.437,.461,.373,.799,123.5,.134
34,1968,NBA,1,1,SDR,Elvin Hayes\hayesel01,22.205,F-C,us,University of Houston,1969,1984,1303,38.4,21.0,12.5,1.8,0.7,1.4,.452,.453,.147,.670,120.8,.116
35,1997,NBA,1,3,BOS,Chauncey Billups\billuch01,20.278,G,us,University of Colorado,1998,2014,1043,31.6,15.2,2.9,5.4,1.0,0.2,.415,.435,.387,.894,120.8,.176
36,1981,NBA,1,3,NJN,Buck Williams\willibu01,21.098,F-C,us,University of Maryland,1982,1998,1307,32.5,12.8,10.0,1.3,0.8,0.8,.549,.550,.167,.664,120.1,.136
37,2003,NBA,1,5,MIA,Dwyane Wade\wadedw01,21.165,G,us,Marquette University,2004,2018,982,34.5,22.5,4.7,5.5,1.6,0.9,.483,.504,.287,.767,118.3,.168
38,1987,NBA,1,10,CHI,Horace Grant\grantho01,21.358,F-C,us,Clemson University,1988,2004,1165,33.2,11.2,8.1,2.2,1.0,1.0,.509,.511,.063,.692,118.2,.147
39,1982,NBA,1,3,UTA,Dominique Wilkins\wilkido01,22.174,F-G,fr,University of Georgia,1983,1999,1074,35.5,24.8,6.7,2.5,1.3,0.6,.461,.478,.319,.811,117.5,.148
40,1970,NBA,1,1,DET,Bob Lanier\laniebo01,21.199,C,us,St. Bonaventure University,1971,1984,959,33.5,20.1,10.1,3.1,0.8,1.1,.514,.515,.154,.767,117.1,.175
41,1991,NBA,1,4,DEN,Dikembe Mutombo\mutomdi01,25.007,C,cd,Georgetown University,1992,2009,1196,30.8,9.8,10.3,1.0,0.4,2.8,.518,.518,.000,.684,117.0,.153
42,1959,NBA,1,2,DET,Bailey Howell\howelba01,22.075,F,us,Mississippi State University,1960,1971,950,32.2,18.7,9.9,2.0,,,.480,.480,,.762,114.8,.180
43,1967,NBA,1,5,NYK,Walt Frazier\fraziwa01,22.040,G,us,Southern Illinois University,1968,1980,825,37.5,18.9,5.9,6.1,0.8,0.1,.490,.490,.000,.786,113.5,.176
44,1980,NBA,1,3,BOS,Kevin McHale\mchalke01,22.179,F-C,us,University of Minnesota,1981,1993,971,31.0,17.9,7.3,1.7,0.4,1.7,.554,.558,.261,.798,113.0,.180
45,1977,NBA,1,8,SEA,Jack Sikma\sikmaja01,21.214,C-F,us,Illinois Wesleyan University,1978,1991,1107,33.4,15.6,9.8,3.2,1.0,0.9,.464,.470,.328,.849,112.5,.146
46,1968,NBA,1,2,BAL,Wes Unseld\unselwe01,22.088,C-F,us,University of Louisville,1969,1981,984,36.4,10.8,14.0,3.9,0.6,0.4,.509,.509,.500,.633,110.1,.147
47,1999,NBA,1,1,CHI,Elton Brand\brandel01,20.116,F,us,Duke University,2000,2016,1058,33.0,15.9,8.5,2.1,0.9,1.7,.500,.501,.095,.736,109.6,.151
48,1985,NBA,1,8,DAL,Detlef Schrempf\schrede01,22.154,F-C,de,University of Washington,1986,2001,1136,29.6,13.9,6.2,3.4,0.8,0.3,.491,.505,.384,.803,109.5,.156
