,,,,,,,,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Shooting,Advanced,Advanced
Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,1986,NBA,2,46,PHO,Jeff Hornacek\hornaje01,23.051,G,us,Iowa State University,1987,2000,1077,31.5,14.5,3.4,4.9,1.4,0.2,.496,.515,.403,.877,108.9,.154
2,1999,NBA,2,57,SAS,Manu Ginobili\ginobma01,21.342,G,ar,,2003,2018,1057,25.4,13.3,3.5,3.8,1.3,0.3,.447,.498,.369,.827,106.4,.190
3,1998,NBA,2,32,SEA,Rashard Lewis\lewisra02,18.325,F,us,,1999,2014,1049,32.0,14.9,5.2,1.7,1.1,0.5,.452,.491,.386,.805,90.9,.130
4,1986,NBA,2,27,DET,Dennis Rodman\rodmade01,25.041,F,us,Southeastern Oklahoma State University,1987,2000,911,31.7,7.3,13.1,1.8,0.7,0.6,.521,.542,.231,.584,89.8,.150
5,1992,NBA,2,29,NJN,P.J. Brown\brownpj01,22.259,F-C,us,Louisiana Tech University,1994,2008,1089,31.1,9.1,7.7,1.5,0.8,1.0,.460,.463,.136,.794,89.8,.128
6,1989,NBA,2,36,POR,Clifford Robinson\robincl02,22.199,F-C,us,University of Connecticut,1990,2007,1380,30.8,14.2,4.6,2.2,1.0,1.0,.438,.459,.356,.689,89.7,.101
7,2006,NBA,2,47,UTA,Paul Millsap\millspa01,21.143,F,us,Louisiana Tech University,2007,2018,875,29.5,14.2,7.4,2.3,1.3,1.0,.491,.513,.330,.734,82.1,.153
8,2002,NBA,2,35,CLE,Carlos Boozer\boozeca01,20.223,F-C,de,Duke University,2003,2015,861,31.2,16.2,9.5,2.2,0.9,0.4,.521,.522,.071,.722,80.3,.143
9,2008,NBA,2,35,LAC,DeAndre Jordan\jordade01,19.345,C,us,Texas A&M University,2009,2018,750,28.1,9.4,10.7,0.7,0.6,1.7,.673,.674,.091,.446,76.3,.174
