Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Utah Jazz*,82,19755,38.8,86.4,.449,9.9,27.0,.365,28.9,59.3,.488,16.4,21.3,.771,9.0,34.3,43.3,20.8,8.6,4.8,15.5,21.4,103.9
2,San Antonio Spurs*,82,19730,40.1,88.5,.453,9.6,27.6,.348,30.5,60.9,.501,15.0,19.8,.759,9.7,35.0,44.6,22.9,8.0,4.1,14.8,20.7,104.8
3,Boston Celtics*,82,19805,38.7,88.0,.440,9.7,28.6,.339,29.0,59.3,.488,16.8,22.1,.763,10.0,35.4,45.4,22.0,7.5,4.6,14.6,19.8,103.9
4,Miami Heat*,82,19930,38.9,86.6,.450,9.9,27.5,.360,29.0,59.1,.491,18.6,23.7,.783,9.4,35.2,44.5,21.7,7.8,4.8,14.6,20.0,106.3
5,Portland Trail Blazers*,82,19755,39.6,88.7,.447,10.0,27.4,.364,29.6,61.2,.484,17.1,22.7,.755,9.6,34.7,44.3,20.8,7.6,5.3,13.0,19.7,106.4
6,Houston Rockets*,82,19755,40.4,87.4,.462,10.3,29.5,.351,30.1,57.9,.519,15.0,20.0,.746,8.8,34.1,42.9,22.9,7.6,4.5,14.9,20.8,106.1
7,Toronto Raptors*,82,19830,39.1,87.2,.449,9.1,25.4,.357,30.1,61.8,.486,18.5,24.1,.767,10.0,33.2,43.2,22.2,7.3,5.0,14.6,20.3,105.9
8,Detroit Pistons,82,19805,40.4,88.0,.459,11.4,31.8,.359,28.9,56.2,.515,15.1,19.5,.775,9.5,35.7,45.2,26.0,7.5,5.0,15.3,19.0,107.3
9,Indiana Pacers*,82,19755,40.9,87.9,.465,11.0,31.6,.349,29.9,56.4,.530,15.3,20.3,.757,10.6,34.0,44.6,24.1,7.3,5.4,16.1,19.1,108.1
10,Oklahoma City Thunder*,82,19830,39.5,86.2,.458,11.5,31.4,.367,28.0,54.8,.511,16.7,21.7,.769,9.8,33.5,43.3,23.9,7.9,4.7,16.5,21.9,107.2
11,Philadelphia 76ers*,82,19780,37.9,87.4,.434,10.1,29.5,.342,27.9,57.8,.482,19.0,25.6,.745,9.9,32.1,42.1,21.7,8.5,5.1,14.3,20.3,105.0
12,Dallas Mavericks,82,19805,40.8,87.1,.469,11.1,30.5,.363,29.7,56.5,.526,16.8,22.2,.756,9.2,38.4,47.5,24.4,7.5,4.7,14.3,20.3,109.5
13,Memphis Grizzlies,82,19705,39.1,84.5,.462,11.2,30.5,.368,27.9,54.0,.516,21.7,28.2,.769,10.0,34.7,44.7,23.3,8.5,5.4,15.5,21.5,111.0
14,Sacramento Kings,82,19755,40.7,86.5,.470,12.5,33.1,.377,28.2,53.4,.527,17.2,22.5,.765,9.5,36.4,45.9,24.8,8.1,5.0,15.1,18.2,111.1
15,Washington Wizards*,82,19855,40.0,86.5,.462,10.4,29.9,.349,29.5,56.6,.522,18.4,24.2,.761,10.1,33.5,43.6,22.9,8.0,4.8,15.3,20.5,108.7
16,Milwaukee Bucks*,82,19830,40.4,86.3,.468,10.4,28.0,.372,29.9,58.3,.513,19.0,24.2,.783,10.3,33.8,44.0,24.4,7.4,4.6,16.1,20.5,110.1
17,Minnesota Timberwolves*,82,19805,41.6,87.6,.475,11.2,30.7,.366,30.4,56.9,.534,16.6,21.2,.779,10.1,33.1,43.3,24.8,6.7,4.8,15.6,21.6,111.1
18,Golden State Warriors*,82,19730,40.3,90.1,.447,10.4,29.2,.357,29.8,60.9,.490,16.7,22.1,.758,10.9,31.7,42.6,23.6,8.8,3.7,14.4,18.5,107.7
19,Charlotte Hornets,82,19780,41.5,88.7,.468,11.4,30.4,.375,30.1,58.3,.516,14.6,18.4,.795,8.5,35.7,44.2,25.0,6.7,5.0,13.7,22.7,109.1
20,New York Knicks,82,19830,40.4,88.5,.457,11.5,31.2,.368,28.9,57.3,.505,18.4,23.8,.774,10.5,33.8,44.2,24.6,8.4,4.9,13.7,18.9,110.7
21,Orlando Magic,82,19730,41.6,89.0,.467,10.2,28.0,.362,31.5,61.0,.516,16.7,21.6,.773,10.8,35.9,46.6,24.8,7.9,5.0,14.5,19.3,110.1
22,Denver Nuggets,82,19880,42.2,88.7,.476,11.1,29.5,.378,31.1,59.2,.525,15.4,20.8,.738,10.0,32.6,42.6,25.3,8.2,4.9,14.1,21.2,110.9
23,Atlanta Hawks,82,19705,41.3,88.1,.469,11.8,31.2,.377,29.6,56.9,.520,16.1,20.9,.771,10.4,34.5,44.9,26.5,8.8,5.6,15.3,20.6,110.6
24,Los Angeles Clippers,82,19705,40.7,88.8,.458,10.9,30.6,.356,29.8,58.2,.512,18.0,23.0,.782,10.7,33.4,44.1,24.9,8.6,5.7,14.2,22.2,110.2
25,Los Angeles Lakers,82,19905,40.4,88.6,.456,10.3,29.7,.346,30.2,58.9,.512,16.8,22.1,.761,10.1,34.1,44.2,23.2,8.2,5.4,14.1,20.2,108.0
26,Cleveland Cavaliers*,82,19730,42.6,89.9,.474,11.9,32.2,.368,30.7,57.6,.533,14.9,19.7,.756,10.1,34.3,44.4,26.3,7.6,4.2,13.7,21.1,111.9
27,Chicago Bulls,82,19855,41.3,87.5,.472,12.2,32.9,.370,29.1,54.5,.534,16.1,20.4,.787,8.5,37.5,46.0,26.1,7.2,5.2,13.7,17.5,110.8
28,Brooklyn Nets,82,19855,41.8,89.7,.466,9.1,24.6,.369,32.7,65.1,.503,18.0,23.5,.766,10.4,36.4,46.9,21.8,7.7,5.5,12.4,19.7,110.6
29,New Orleans Pelicans*,82,19955,40.9,90.2,.454,10.7,30.0,.355,30.3,60.2,.503,15.8,20.1,.784,10.6,34.0,44.6,23.3,8.0,4.1,14.2,20.0,108.3
30,Phoenix Suns,82,19705,41.6,88.4,.471,10.9,29.1,.373,30.7,59.2,.519,18.7,24.5,.766,10.4,35.3,45.7,23.2,8.6,5.9,13.3,20.8,112.8
