Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Utah Jazz*,82,19755,3057,6804,.449,778,2131,.365,2279,4673,.488,1295,1680,.771,710,2702,3412,1636,678,380,1224,1683,8187
2,San Antonio Spurs*,82,19730,3131,6911,.453,750,2154,.348,2381,4757,.501,1175,1549,.759,756,2731,3487,1786,622,318,1155,1620,8187
3,Boston Celtics*,82,19805,3066,6973,.440,769,2270,.339,2297,4703,.488,1334,1748,.763,791,2804,3595,1744,594,364,1159,1571,8235
4,Miami Heat*,82,19930,3090,6873,.450,785,2181,.360,2305,4692,.491,1476,1885,.783,743,2791,3534,1720,616,378,1160,1587,8441
5,Portland Trail Blazers*,82,19755,3146,7042,.447,794,2179,.364,2352,4863,.484,1362,1804,.755,763,2755,3518,1655,602,418,1036,1564,8448
6,Houston Rockets*,82,19755,3244,7017,.462,829,2365,.351,2415,4652,.519,1201,1610,.746,710,2738,3448,1837,609,363,1194,1670,8518
7,Toronto Raptors*,82,19830,3149,7017,.449,731,2046,.357,2418,4971,.486,1489,1942,.767,806,2672,3478,1786,588,401,1176,1634,8518
8,Detroit Pistons,82,19805,3206,6988,.459,908,2527,.359,2298,4461,.515,1201,1549,.775,756,2833,3589,2064,597,398,1215,1511,8521
9,Indiana Pacers*,82,19755,3230,6952,.465,870,2496,.349,2360,4456,.530,1213,1603,.757,837,2686,3523,1905,577,428,1271,1513,8543
10,Oklahoma City Thunder*,82,19830,3156,6885,.458,920,2507,.367,2236,4378,.511,1332,1733,.769,781,2676,3457,1911,630,377,1315,1750,8564
11,Philadelphia 76ers*,82,19780,3120,7185,.434,829,2427,.342,2291,4758,.482,1566,2102,.745,818,2641,3459,1782,697,417,1173,1672,8635
12,Dallas Mavericks,82,19805,3219,6870,.469,874,2409,.363,2345,4461,.526,1327,1755,.756,725,3027,3752,1929,594,368,1127,1605,8639
13,Memphis Grizzlies,82,19705,3046,6586,.462,874,2376,.368,2172,4210,.516,1688,2196,.769,782,2703,3485,1816,662,421,1210,1674,8654
14,Sacramento Kings,82,19755,3177,6759,.470,976,2586,.377,2201,4173,.527,1347,1761,.765,745,2842,3587,1939,636,389,1176,1422,8677
15,Washington Wizards*,82,19855,3195,6918,.462,835,2393,.349,2360,4525,.522,1469,1931,.761,805,2682,3487,1831,641,383,1224,1639,8694
16,Milwaukee Bucks*,82,19830,3209,6864,.468,829,2226,.372,2380,4638,.513,1509,1927,.783,817,2686,3503,1939,585,366,1279,1632,8756
17,Minnesota Timberwolves*,82,19805,3298,6941,.475,890,2431,.366,2408,4510,.534,1311,1683,.779,803,2625,3428,1962,529,382,1239,1711,8797
18,Golden State Warriors*,82,19730,3296,7380,.447,853,2392,.357,2443,4988,.490,1369,1807,.758,893,2592,3485,1934,717,301,1175,1516,8814
19,Charlotte Hornets,82,19780,3370,7199,.468,926,2467,.375,2444,4732,.516,1187,1494,.795,692,2892,3584,2029,542,404,1112,1840,8853
20,New York Knicks,82,19830,3233,7078,.457,917,2494,.368,2316,4584,.505,1475,1906,.774,838,2701,3539,1965,670,389,1096,1509,8858
21,Orlando Magic,82,19730,3355,7177,.467,819,2261,.362,2536,4916,.516,1345,1741,.773,868,2892,3760,1998,639,402,1166,1557,8874
22,Denver Nuggets,82,19880,3386,7113,.476,893,2364,.378,2493,4749,.525,1234,1671,.738,800,2613,3413,2029,654,391,1131,1699,8899
23,Atlanta Hawks,82,19705,3336,7108,.469,949,2519,.377,2387,4589,.520,1301,1687,.771,841,2785,3626,2136,710,453,1238,1661,8922
24,Los Angeles Clippers,82,19705,3298,7194,.458,881,2477,.356,2417,4717,.512,1457,1864,.782,871,2706,3577,2015,699,462,1154,1803,8934
25,Los Angeles Lakers,82,19905,3366,7374,.456,855,2469,.346,2511,4905,.512,1402,1843,.761,840,2835,3675,1932,682,447,1170,1681,8989
26,Cleveland Cavaliers*,82,19730,3429,7238,.474,956,2596,.368,2473,4642,.533,1200,1588,.756,812,2766,3578,2122,613,340,1105,1696,9014
27,Chicago Bulls,82,19855,3360,7115,.472,990,2678,.370,2370,4437,.534,1307,1660,.787,691,3053,3744,2123,588,424,1112,1426,9017
28,Brooklyn Nets,82,19855,3418,7334,.466,741,2010,.369,2677,5324,.503,1471,1921,.766,853,2981,3834,1782,630,450,1015,1615,9048
29,New Orleans Pelicans*,82,19955,3423,7538,.454,891,2508,.355,2532,5030,.503,1317,1679,.784,887,2843,3730,1947,670,344,1186,1668,9054
30,Phoenix Suns,82,19705,3426,7274,.471,895,2398,.373,2531,4876,.519,1543,2014,.766,855,2906,3761,1910,711,488,1099,1715,9290
,League Average,82,19795,3248,7057,.460,860,2378,.362,2388,4679,.510,1363,1778,.767,796,2772,3568,1905,633,395,1170,1628,8719
