,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,Layups,Layups,,Corner,Corner
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%
1,Atlanta Hawks,82,19705,.469,13.7,.646,.270,.127,.116,.132,.354,.520,.648,.430,.439,.416,.377,.548,.051,318,.259,1024,.872,.216,.381
2,Boston Celtics*,82,19805,.440,13.1,.674,.285,.162,.103,.124,.326,.488,.652,.365,.361,.379,.339,.485,.046,294,.286,1094,.818,.181,.417
3,Brooklyn Nets,82,19855,.466,12.6,.726,.260,.185,.135,.146,.274,.503,.632,.430,.432,.430,.369,.450,.043,275,.277,1080,.780,.186,.401
4,Chicago Bulls,82,19855,.472,13.7,.624,.292,.122,.090,.119,.376,.534,.681,.394,.425,.401,.370,.535,.051,330,.264,1110,.864,.213,.393
5,Charlotte Hornets,82,19780,.468,13.7,.657,.262,.144,.116,.134,.343,.516,.683,.395,.436,.393,.375,.507,.049,314,.258,1064,.853,.194,.418
6,Cleveland Cavaliers*,82,19730,.474,13.4,.641,.299,.132,.104,.107,.359,.533,.672,.399,.429,.409,.368,.537,.055,362,.276,1148,.832,.213,.446
7,Dallas Mavericks,82,19805,.469,13.8,.649,.238,.167,.113,.130,.351,.526,.698,.412,.457,.421,.363,.515,.051,314,.216,854,.826,.190,.384
8,Denver Nuggets,82,19880,.476,12.8,.668,.268,.191,.101,.108,.332,.525,.682,.412,.450,.407,.378,.515,.049,310,.291,1188,.835,.247,.390
9,Detroit Pistons,82,19805,.459,13.6,.638,.251,.177,.105,.105,.362,.515,.704,.373,.405,.417,.359,.541,.046,288,.271,1059,.904,.233,.387
10,Golden State Warriors*,82,19730,.447,13.0,.676,.278,.166,.112,.120,.324,.490,.652,.379,.390,.360,.357,.512,.052,347,.274,1089,.802,.189,.378
11,Houston Rockets*,82,19755,.462,12.8,.663,.304,.157,.097,.104,.337,.519,.670,.413,.394,.358,.351,.485,.050,315,.294,1193,.802,.214,.380
12,Indiana Pacers*,82,19755,.465,13.6,.641,.285,.138,.098,.121,.359,.530,.669,.434,.421,.398,.349,.490,.055,340,.270,1073,.861,.198,.397
13,Los Angeles Clippers,82,19705,.458,13.4,.656,.279,.139,.109,.128,.344,.512,.658,.391,.424,.402,.356,.540,.058,372,.252,1027,.806,.232,.388
14,Los Angeles Lakers,82,19905,.456,12.9,.665,.304,.156,.092,.113,.335,.512,.648,.393,.399,.403,.346,.495,.059,384,.280,1142,.806,.196,.364
15,Memphis Grizzlies,82,19705,.462,13.3,.639,.296,.131,.102,.111,.361,.516,.659,.390,.400,.390,.368,.501,.059,353,.268,993,.833,.223,.425
16,Miami Heat*,82,19930,.450,12.7,.683,.279,.188,.102,.113,.317,.491,.621,.393,.399,.422,.360,.467,.050,307,.273,995,.820,.199,.363
17,Milwaukee Bucks*,82,19830,.468,12.5,.676,.328,.145,.100,.103,.324,.513,.674,.329,.403,.367,.372,.519,.058,349,.316,1189,.848,.222,.417
18,Minnesota Timberwolves*,82,19805,.475,13.1,.650,.297,.141,.095,.115,.350,.534,.690,.393,.404,.416,.366,.504,.060,392,.273,1112,.840,.228,.374
19,New Orleans Pelicans*,82,19955,.454,13.3,.667,.278,.155,.109,.125,.333,.503,.650,.410,.399,.385,.355,.476,.056,376,.277,1129,.833,.201,.379
20,New York Knicks,82,19830,.457,13.3,.648,.291,.142,.093,.121,.352,.505,.630,.387,.411,.418,.368,.513,.059,359,.271,1016,.848,.243,.405
21,Oklahoma City Thunder*,82,19830,.458,13.1,.636,.302,.144,.096,.094,.364,.511,.647,.372,.425,.375,.367,.508,.059,349,.270,1020,.842,.239,.402
22,Orlando Magic,82,19730,.467,12.7,.685,.280,.179,.100,.126,.315,.516,.678,.392,.441,.391,.362,.519,.057,365,.296,1189,.834,.230,.426
23,Philadelphia 76ers*,82,19780,.434,13.7,.662,.238,.176,.120,.128,.338,.482,.660,.357,.410,.387,.342,.486,.049,315,.255,936,.807,.187,.385
24,Phoenix Suns,82,19705,.471,13.0,.670,.306,.133,.106,.125,.330,.519,.639,.417,.441,.400,.373,.466,.054,352,.277,1126,.817,.190,.401
25,Portland Trail Blazers*,82,19755,.447,12.9,.691,.281,.152,.121,.136,.309,.484,.582,.415,.409,.425,.364,.427,.037,219,.267,976,.819,.186,.405
26,Sacramento Kings,82,19755,.470,13.8,.617,.259,.166,.081,.111,.383,.527,.684,.424,.417,.398,.377,.514,.052,319,.271,1037,.828,.205,.406
27,San Antonio Spurs*,82,19730,.453,12.8,.688,.281,.161,.121,.125,.312,.501,.633,.397,.425,.409,.348,.490,.055,337,.267,968,.827,.213,.358
28,Toronto Raptors*,82,19830,.449,12.2,.708,.297,.177,.121,.112,.292,.486,.617,.359,.432,.401,.357,.493,.050,300,.287,1039,.813,.196,.363
29,Utah Jazz*,82,19755,.449,13.1,.687,.254,.179,.123,.130,.313,.488,.655,.384,.376,.409,.365,.444,.052,316,.260,943,.801,.183,.404
30,Washington Wizards*,82,19855,.462,13.3,.654,.279,.154,.100,.120,.346,.522,.695,.392,.388,.399,.349,.490,.055,355,.286,1118,.808,.192,.364
,League Average,82,19795,.460,13.2,.663,.281,.156,.106,.120,.337,.510,.658,.394,.415,.400,.362,.499,.053,331,.273,1064,.830,.208,.394
