Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,82,19730,42.9,85.3,.503,11.3,28.9,.391,31.5,56.3,.560,16.6,20.4,.815,8.4,35.1,43.6,29.3,8.0,7.5,15.5,19.6,113.6
2,Houston Rockets*,82,19755,39.5,86.0,.460,15.6,43.2,.362,23.9,42.8,.558,20.0,25.7,.781,9.2,35.2,44.4,22.0,8.7,4.9,14.1,19.9,114.7
3,New Orleans Pelicans*,82,19955,41.9,86.6,.483,10.0,27.7,.362,31.9,59.0,.540,15.8,20.5,.772,8.5,35.0,43.5,26.3,7.9,5.8,14.6,18.8,109.6
4,Toronto Raptors*,82,19830,42.0,89.1,.472,12.0,33.6,.358,30.0,55.5,.541,17.7,22.2,.794,9.9,34.9,44.8,24.8,7.8,6.2,13.6,22.2,113.8
5,Cleveland Cavaliers*,82,19730,41.1,86.3,.476,12.2,32.7,.372,28.9,53.6,.540,18.5,23.7,.779,8.6,34.3,42.9,23.8,7.2,3.9,14.0,18.9,112.9
6,Denver Nuggets,82,19880,41.6,88.5,.470,11.7,31.6,.371,29.9,56.9,.525,17.5,22.9,.766,11.2,34.3,45.5,25.7,7.8,5.0,15.3,19.1,112.5
7,Philadelphia 76ers*,82,19780,40.7,86.3,.472,11.0,29.7,.369,29.8,56.6,.526,17.1,22.7,.752,10.9,36.4,47.3,27.0,8.3,5.1,16.4,22.0,109.5
8,Minnesota Timberwolves*,82,19805,42.5,89.2,.476,8.3,23.3,.357,34.2,65.9,.519,20.1,25.0,.804,10.7,32.7,43.4,23.5,8.7,4.3,12.9,18.9,113.4
9,Los Angeles Clippers,82,19705,40.7,86.4,.471,9.6,27.1,.354,31.2,59.3,.525,19.2,25.8,.743,10.3,34.1,44.4,22.6,7.7,4.6,14.9,20.2,110.3
10,Charlotte Hornets,82,19780,39.4,87.6,.450,10.2,27.5,.369,29.3,60.1,.487,20.4,27.3,.747,10.2,35.8,45.9,21.8,6.9,4.6,12.8,17.4,109.4
11,Los Angeles Lakers,82,19905,40.1,87.1,.461,9.9,28.6,.345,30.2,58.4,.517,16.4,23.0,.714,10.5,35.2,45.7,23.4,7.6,4.7,15.6,20.9,106.5
