
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,82,19730,3509,6980,.503,926,2369,.391,2583,4611,.560,1360,1668,.815,691,2877,3568,2402,656,612,1267,1606,9304
2,Houston Rockets*,82,19755,3174,6906,.460,1256,3470,.362,1918,3436,.558,1609,2061,.781,739,2825,3564,1767,699,392,1135,1597,9213
3,New Orleans Pelicans*,82,19955,3500,7241,.483,837,2312,.362,2663,4929,.540,1324,1716,.772,712,2924,3636,2195,657,485,1223,1570,9161
4,Toronto Raptors*,82,19830,3383,7169,.472,968,2703,.358,2415,4466,.541,1422,1790,.794,800,2807,3607,1995,626,500,1095,1784,9156
5,Cleveland Cavaliers*,82,19730,3311,6950,.476,981,2636,.372,2330,4314,.540,1488,1909,.779,694,2761,3455,1916,582,312,1126,1523,9091
6,Denver Nuggets,82,19880,3338,7102,.470,940,2536,.371,2398,4566,.525,1404,1833,.766,902,2748,3650,2058,627,404,1227,1533,9020
7,Philadelphia 76ers*,82,19780,3349,7098,.472,901,2445,.369,2448,4653,.526,1405,1868,.752,893,2996,3889,2221,682,420,1353,1813,9004
8,Minnesota Timberwolves*,82,19805,3365,7063,.476,658,1845,.357,2707,5218,.519,1592,1980,.804,848,2593,3441,1861,689,344,1021,1495,8980
9,Los Angeles Clippers,82,19705,3302,7004,.471,777,2196,.354,2525,4808,.525,1556,2095,.743,832,2766,3598,1832,627,373,1204,1638,8937
10,Charlotte Hornets,82,19780,3197,7106,.450,824,2233,.369,2373,4873,.487,1656,2216,.747,826,2901,3727,1770,559,373,1041,1410,8874
11,Los Angeles Lakers,82,19905,3338,7248,.461,822,2384,.345,2516,4864,.517,1364,1910,.714,876,2926,3802,1949,633,388,1295,1738,8862
12,Oklahoma City Thunder*,82,19830,3271,7220,.453,881,2490,.354,2390,4730,.505,1421,1987,.715,1024,2671,3695,1750,743,412,1147,1654,8844
13,Washington Wizards*,82,19855,3275,7018,.467,814,2173,.375,2461,4845,.508,1378,1785,.772,823,2713,3536,2065,645,353,1196,1746,8742
14,Brooklyn Nets,82,19855,3136,7114,.441,1041,2924,.356,2095,4190,.500,1428,1850,.772,792,2851,3643,1942,512,390,1245,1688,8741
15,Milwaukee Bucks*,82,19830,3257,6807,.478,718,2024,.355,2539,4783,.531,1499,1916,.782,688,2579,3267,1905,722,443,1134,1752,8731
16,Portland Trail Blazers*,82,19755,3222,7132,.452,845,2308,.366,2377,4824,.493,1372,1715,.800,835,2893,3728,1599,573,423,1109,1599,8661
17,Indiana Pacers*,82,19755,3345,7083,.472,741,2010,.369,2604,5073,.513,1225,1573,.779,788,2684,3472,1819,721,340,1089,1543,8656
18,New York Knicks,82,19830,3334,7194,.463,673,1914,.352,2661,5280,.504,1225,1557,.787,859,2752,3611,1912,552,421,1207,1682,8566
19,Utah Jazz*,82,19755,3139,6797,.462,887,2425,.366,2252,4372,.515,1375,1766,.779,740,2807,3547,1839,708,420,1205,1608,8540
20,Boston Celtics*,82,19805,3141,6975,.450,939,2492,.377,2202,4483,.491,1308,1697,.771,767,2878,3645,1842,604,374,1149,1618,8529
21,Phoenix Suns,82,19705,3153,7141,.442,763,2286,.334,2390,4855,.492,1453,1963,.740,842,2776,3618,1743,569,370,1289,1807,8522
22,Detroit Pistons,82,19805,3208,7129,.450,886,2373,.373,2322,4756,.488,1207,1621,.745,830,2756,3586,1868,628,317,1103,1508,8509
23,Miami Heat*,82,19930,3184,6997,.455,903,2506,.360,2281,4491,.508,1209,1601,.755,763,2801,3564,1862,620,437,1179,1648,8480
24,Orlando Magic,82,19730,3182,7042,.452,844,2405,.351,2338,4637,.504,1271,1678,.757,722,2692,3414,1921,622,400,1192,1580,8479
25,Atlanta Hawks,82,19705,3130,7014,.446,917,2544,.360,2213,4470,.495,1298,1654,.785,742,2693,3435,1946,638,348,1276,1606,8475
26,Chicago Bulls,82,19855,3170,7286,.435,906,2550,.355,2264,4736,.478,1194,1576,.758,790,2873,3663,1923,626,289,1147,1572,8440
27,San Antonio Spurs*,82,19730,3202,6999,.457,696,1977,.352,2506,5022,.499,1324,1715,.772,849,2777,3626,1868,628,460,1078,1409,8424
28,Dallas Mavericks,82,19805,3128,7041,.444,967,2688,.360,2161,4353,.496,1167,1530,.763,666,2717,3383,1858,578,310,1008,1578,8390
29,Memphis Grizzlies,82,19705,3013,6788,.444,758,2152,.352,2255,4636,.486,1361,1732,.786,779,2544,3323,1767,613,396,1227,1900,8145
30,Sacramento Kings,82,19755,3179,7063,.450,738,1967,.375,2441,5096,.479,1008,1371,.735,777,2578,3355,1769,643,340,1125,1639,8104
,League Average,82,19795,3248,7057,.460,860,2378,.362,2388,4679,.510,1363,1778,.767,796,2772,3568,1905,633,395,1170,1628,8719
