,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,Layups,Layups,,Corner,Corner,Heaves,Heaves
Rk,Team,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Atlanta Hawks,82,19705,.446,13.6,.637,.279,.131,.105,.122,.363,.495,.635,.351,.399,.411,.360,.520,.052,309,.288,1064,.869,.243,.426,22,0
2,Boston Celtics*,82,19805,.450,13.7,.643,.259,.158,.106,.120,.357,.491,.628,.364,.419,.426,.377,.490,.047,274,.261,935,.813,.213,.408,18,0
3,Brooklyn Nets,82,19855,.441,13.7,.589,.269,.175,.083,.062,.411,.500,.643,.379,.400,.354,.356,.507,.043,269,.287,1098,.844,.201,.376,13,1
4,Chicago Bulls,82,19855,.435,13.6,.650,.254,.165,.095,.135,.350,.478,.624,.389,.388,.378,.355,.510,.039,261,.250,942,.848,.184,.372,15,0
5,Charlotte Hornets,82,19780,.450,13.2,.686,.273,.160,.114,.138,.314,.487,.641,.380,.409,.370,.369,.484,.046,300,.268,1029,.756,.154,.369,22,1
6,Cleveland Cavaliers*,82,19730,.476,13.8,.621,.296,.113,.092,.119,.379,.540,.706,.368,.413,.387,.372,.478,.051,319,.269,1163,.819,.252,.417,13,0
7,Dallas Mavericks,82,19805,.444,14.4,.618,.241,.135,.105,.137,.382,.497,.652,.400,.385,.404,.360,.491,.048,295,.222,850,.824,.169,.416,20,0
8,Denver Nuggets,82,19880,.470,12.8,.643,.275,.204,.090,.074,.357,.525,.664,.424,.441,.391,.371,.526,.055,356,.302,1157,.848,.167,.417,26,0
9,Detroit Pistons,82,19805,.450,13.1,.667,.260,.185,.107,.116,.333,.488,.657,.346,.433,.388,.373,.465,.044,271,.280,1047,.889,.227,.392,19,1
10,Golden State Warriors*,82,19730,.503,14.0,.661,.267,.111,.139,.144,.339,.560,.708,.424,.485,.464,.391,.643,.071,454,.229,952,.801,.158,.405,26,0
11,Houston Rockets*,82,19755,.460,15.0,.498,.288,.103,.062,.044,.502,.558,.669,.369,.455,.430,.362,.470,.062,392,.261,1004,.689,.227,.401,17,1
